trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
158,False,"{'a': 0.03, 'e': 0.0017999435062305918}",20,15,8.642994244749598,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.03, 'e': 0.0017293667118571563}",30,20,17.004342176569548,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.03, 'e': 0.0016615572731739346}",25,9,26.526637732511603,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.03, 'e': 0.0015964066806122479}",20,14,2.7243038962470876,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.03, 'e': 0.0015338106793244637}",20,6,23.101396398676286,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.03, 'e': 0.0014736691023539952}",20,5,23.468272271467562,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.03, 'e': 0.0014158857103468026}",20,14,13.189077230093849,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.03, 'e': 0.0013603680375478932}",20,12,15.50834830307479,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.03, 'e': 0.0013070272438363867}",20,8,23.1362278308777,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.03, 'e': 0.0012557779725623699}",20,7,22.669072112406607,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.03, 'e': 0.0012065382139580408}",25,19,13.198460041405546,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.03, 'e': 0.0011592291739045918}",25,15,16.674964538303406,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.03, 'e': 0.0011137751478448037}",25,1,37.92395917319982,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.03, 'e': 0.0010701033996396048}",20,11,14.351312358350315,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.03, 'e': 0.0010281440451747302}",30,16,27.033530918662596,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.03, 'e': 0.00098782994053123}",20,3,28.564893917216082,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.03, 'e': 0.0009490965745408731}",30,23,15.091950744354008,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.03, 'e': 0.0009118819655545166}",30,10,33.567613344721615,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.03, 'e': 0.000876126562258242}",30,16,25.472137712472822,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.03, 'e': 0.0008417731483785493}",20,10,16.810873927217763,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.03, 'e': 0.0008087667511241117}",20,1,27.211282020071305,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.03, 'e': 0.0007770545532175819}",25,11,24.854700468166115,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.03, 'e': 0.0007465858083766795}",25,7,28.870509764007668,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.03, 'e': 0.0007173117601093137}",25,18,10.70562003342109,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.03, 'e': 0.0006891855636927933}",20,0,29.12824573283084,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.03, 'e': 0.0006621622112122766}",25,16,17.159569858450148,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
